"date","close","volume","open","high","low"
"2014/04/09","13.3367","151434.0000","13.6333","13.6949","13.2433"
"2014/04/08","13.5400","248916.0000","13.6667","13.6667","13.4367"
"2014/04/07","13.8733","275631.0000","13.6933","13.9438","13.6167"
"2014/04/04","14.2217","173973.0000","14.0867","14.2267","13.9000"
"2014/04/03","14.1633","297876.0000","14.3400","14.6123","13.8700"
"2014/04/02","14.6233","262902.0000","14.8267","14.9067","14.4600"
"2014/04/01","15.2200","326832.0000","14.9067","15.2733","14.8403"
"2014/03/31","14.5700","465555.0000","14.5767","14.8333","14.4800"
"2014/03/28","13.9500","127866.0000","13.6433","13.9717","13.6433"
"2014/03/27","13.7800","619728.0000","14.3533","14.5700","13.4167"
"2014/03/26","14.6267","118989.0000","14.6200","14.8333","14.3467"
"2014/03/25","14.4467","313485.0000","14.6733","14.7867","14.3467"
"2014/03/24","15.3067","99681.0000","15.3833","15.5533","15.2533"
"2014/03/21","15.2300","381621.0000","15.2333","15.4167","15.1467"
"2014/03/20","14.8800","396051.0000","14.7033","15.0333","14.4800"
"2014/03/19","14.3067","78483.0000","14.5667","14.6600","14.2233"
"2014/03/18","14.4300","116877.0000","14.3100","14.5000","14.2178"
"2014/03/17","14.1700","375180.0000","13.9533","14.1700","13.8800"
"2014/03/14","14.6067","144684.0000","14.7733","14.9700","14.5467"
"2014/03/13","14.8900","742077.0000","14.7600","15.0833","14.5333"
"2014/03/12","14.2433","552906.0000","14.4167","14.4667","14.0800"
"2014/03/11","13.8167","158715.0000","13.8300","13.9000","13.6200"
"2014/03/10","13.6167","204615.0000","13.6633","13.9367","13.4000"
"2014/03/07","13.6333","222216.0000","13.4533","13.8833","13.4433"
"2014/03/06","13.5600","418635.0000","13.9467","14.1100","13.2467"
"2014/03/05","13.9100","301419.0000","13.8867","14.2933","13.5000"
"2014/03/04","13.8433","333477.0000","13.7900","14.2833","13.5667"
"2014/03/03","14.4363","361797.0000","13.6567","14.6130","13.5567"
"2014/02/28","13.9000","535566.0000","14.0733","14.1747","13.5733"
"2014/02/27","14.5600","551100.0000","14.4967","14.7267","14.0233"
"2014/02/26","14.3700","749973.0000","14.2233","14.5167","13.8933"
"2014/02/25","14.0333","913794.0000","14.4233","14.4233","13.3667"
"2014/02/24","13.6300","1210692.0000","12.7000","14.2000","12.6667"
"2014/02/21","13.0000","907113.0000","13.2567","13.5733","12.7933"
"2014/02/20","13.3533","799059.0000","12.9833","13.4633","12.8658"
"2014/02/19","13.2033","1142430.0000","13.0833","13.2453","12.7333"
"2014/02/18","13.5433","870360.0000","13.6100","13.7267","13.3833"
"2014/02/14","14.3667","651645.0000","13.7533","14.4860","13.6333"
"2014/02/13","14.0667","757488.0000","14.4000","14.4997","13.8333"
"2014/02/12","14.6833","351726.0000","14.4833","14.8133","14.0159"
"2014/02/11","14.3533","493008.0000","15.4100","15.5133","14.3333"
"2014/02/10","15.9533","720444.0000","15.2067","16.1667","15.0067"
